Date,Narration,Ref,Debit,Credit,Balance
14-02-2026,UPI/DR/250287410976/PAYTMQR2810050501@PAYTM/PAYMENT,,1058.00,,93456.00
14-02-2026,UPI/DR/781924038873/9988776655@AXL/PAYMENT,,996.00,,92460.00
15-02-2026,UPI/DR/585096075773/PAYTMQR2810050501@PAYTM/GROCERIES,585096075773,2000.00,,90460.00
16-02-2026,UPI/DR/917954879034/ZOMATO.PAY@HDFCBANK/PAYMENT,,945.00,,89515.00
17-02-2026,UPI/DR/182791633068/SWIGGY.ORDER@ICICI/PAYMENT,,516.00,,88999.00
18-02-2026,UPI/DR/313919196881/AMAZONPAY@APL/PAYMENT,,106.00,,88893.00
18-02-2026,UPI/DR/369060396809/AMAZONPAY@APL/PAYMENT,,981.00,,87912.00
18-02-2026,ATW-512967XX1234-S1CN100048-HYDERABAD,,2300.00,,85612.00
20-02-2026,UPI/DR/660162502493/RATNADEEP.RZP@AXIS/PAYMENT,,443.00,,85169.00
21-02-2026,UPI/DR/868588712842/SWIGGY.ORDER@ICICI/PAYMENT,,309.00,,84860.00
22-02-2026,UPI/DR/594208757478/RATNADEEP.RZP@AXIS/PAYMENT,,1127.00,,83733.00
22-02-2026,UPI/DR/434776952974/SWIGGY.ORDER@ICICI/PAYMENT,,339.00,,83394.00
23-02-2026,UPI/DR/805943644745/AMAZONPAY@APL/PAYMENT,,1057.00,,82337.00
23-02-2026,UPI/DR/888733395300/JIO.RECHARGE@SBI/PAYMENT,,1198.00,,81139.00
24-02-2026,UPI/DR/920270111406/PAYTMQR2810050501@PAYTM/PAYMENT,,890.00,,80249.00
24-02-2026,UPI/DR/112275621932/AMAZONPAY@APL/PAYMENT,,783.00,,79466.00
26-02-2026,UPI/DR/749575157472/9123456789@YBL/PAYMENT,,325.00,,79141.00
26-02-2026,UPI/DR/660864090846/AMAZONPAY@APL/PAYMENT,,764.00,,78377.00
27-02-2026,UPI/DR/353466574373/ZOMATO.PAY@HDFCBANK/PAYMENT,,1105.00,,77272.00
28-02-2026,UPI/DR/273917874756/9123456789@YBL/PAYMENT,,332.00,,76940.00
28-02-2026,UPI/DR/515604765076/SWIGGY.ORDER@ICICI/PAYMENT,,844.00,,76096.00
28-02-2026,UPI/CR/585096075773/REV OF FAILED TXN,585096075773,,2000.00,78096.00
01-03-2026,NEFT CR-ACME TECH PVT LTD-SALARY,ACMEN1569381205930001,,52000.00,130096.00
01-03-2026,UPI/DR/642428171003/JIO.RECHARGE@SBI/PAYMENT,,854.00,,129242.00
01-03-2026,UPI/DR/402587931896/SWIGGY.ORDER@ICICI/PAYMENT,,368.00,,128874.00
02-03-2026,UPI/DR/128196174293/ZOMATO.PAY@HDFCBANK/PAYMENT,,765.00,,128109.00
02-03-2026,UPI/DR/276540704802/JIO.RECHARGE@SBI/PAYMENT,,779.00,,127330.00
02-03-2026,ATW-512967XX1234-S1CN100060-HYDERABAD,,3100.00,,124230.00
03-03-2026,UPI/DR/414716105967/RATNADEEP.RZP@AXIS/PAYMENT,,904.00,,123326.00
04-03-2026,UPI/DR/440531929364/RATNADEEP.RZP@AXIS/PAYMENT,,1139.00,,122187.00
05-03-2026,ACH-DR-TP BAJAJ FINANCE-EMI,,4500.00,,117687.00
05-03-2026,UPI/DR/619350328646/9123456789@YBL/PAYMENT,,1039.00,,116648.00
06-03-2026,UPI/DR/752637316449/AMAZONPAY@APL/PAYMENT,,163.00,,116485.00
07-03-2026,UPI/DR/981608483287/JIO.RECHARGE@SBI/PAYMENT,,415.00,,116070.00
08-03-2026,UPI/DR/845079351315/ZOMATO.PAY@HDFCBANK/PAYMENT,,454.00,,115616.00
08-03-2026,UPI/DR/629114675945/JIO.RECHARGE@SBI/PAYMENT,,738.00,,114878.00
10-03-2026,UPI/DR/936725745980/PAYTMQR2810050501@PAYTM/PAYMENT,,524.00,,114354.00
10-03-2026,UPI/DR/283580643411/RATNADEEP.RZP@AXIS/PAYMENT,,1155.00,,113199.00
11-03-2026,UPI/DR/997821298959/9123456789@YBL/PAYMENT,,1155.00,,112044.00
11-03-2026,UPI/DR/475131136058/AMAZONPAY@APL/PAYMENT,,426.00,,111618.00
12-03-2026,UPI/DR/152795372214/JIO.RECHARGE@SBI/PAYMENT,,204.00,,111414.00
12-03-2026,ATW-512967XX1234-S1CN289386157692-BEGUMPET,289386157692,5000.00,,106414.00
14-03-2026,UPI/DR/961453551794/PAYTMQR2810050501@PAYTM/PAYMENT,,196.00,,106218.00
14-03-2026,UPI/DR/131206414078/SWIGGY.ORDER@ICICI/PAYMENT,,1149.00,,105069.00
14-03-2026,ATW-512967XX1234-S1CN100072-HYDERABAD,,2800.00,,102269.00
16-03-2026,UPI/DR/432262365649/RATNADEEP.RZP@AXIS/PAYMENT,,951.00,,101318.00
17-03-2026,UPI/DR/468872103030/9123456789@YBL/PAYMENT,,657.00,,100661.00
18-03-2026,UPI/DR/399941312229/PAYTMQR2810050501@PAYTM/PAYMENT,,1060.00,,99601.00
19-03-2026,UPI/DR/980753193251/PAYTMQR2810050501@PAYTM/PAYMENT,,792.00,,98809.00
19-03-2026,UPI/DR/150299782820/9876543210@OKHDFC/PAYMENT,,819.00,,97990.00
21-03-2026,UPI/DR/183399095500/JIO.RECHARGE@SBI/PAYMENT,,875.00,,97115.00
23-03-2026,UPI/DR/637871800688/AMAZONPAY@APL/PAYMENT,,640.00,,96475.00
23-03-2026,UPI/DR/739402316309/PAYTMQR2810050501@PAYTM/PAYMENT,,390.00,,96085.00
23-03-2026,ATM REV CR-289386157692-CASH NOT DISPENSED,289386157692,,5000.00,101085.00
26-03-2026,UPI/DR/262818945866/PAYTMQR2810050501@PAYTM/PAYMENT,,354.00,,100731.00
26-03-2026,UPI/DR/118460555319/PAYTMQR2810050501@PAYTM/PAYMENT,,474.00,,100257.00
26-03-2026,ATW-512967XX1234-S1CN100084-HYDERABAD,,3800.00,,96457.00
29-03-2026,UPI/DR/705499531825/AMAZONPAY@APL/PAYMENT,,496.00,,95961.00
29-03-2026,UPI/DR/415934669166/ZOMATO.PAY@HDFCBANK/PAYMENT,,415.00,,95546.00
31-03-2026,UPI/DR/833048704594/SWIGGY.ORDER@ICICI/PAYMENT,,268.00,,95278.00
31-03-2026,UPI/DR/168578776554/SWIGGY.ORDER@ICICI/PAYMENT,,917.00,,94361.00
01-04-2026,NEFT CR-ACME TECH PVT LTD-SALARY,ACMEN3033484616680001,,52000.00,146361.00
01-04-2026,UPI/DR/741628434154/PAYTMQR2810050501@PAYTM/PAYMENT,,618.00,,145743.00
03-04-2026,UPI/DR/112632173832/JIO.RECHARGE@SBI/PAYMENT,,764.00,,144979.00
05-04-2026,ACH-DR-TP BAJAJ FINANCE-EMI,,4500.00,,140479.00
05-04-2026,UPI/DR/243044627369/RATNADEEP.RZP@AXIS/PAYMENT,,477.00,,140002.00
06-04-2026,UPI/DR/276460218586/MYNTRA.PAYU@AXIS/ORDER 8817,276460218586,1299.00,,138703.00
07-04-2026,UPI/DR/733844431753/9123456789@YBL/PAYMENT,,783.00,,137920.00
07-04-2026,UPI/DR/237985143035/SWIGGY.ORDER@ICICI/PAYMENT,,141.00,,137779.00
07-04-2026,ATW-512967XX1234-S1CN100096-HYDERABAD,,3900.00,,133879.00
08-04-2026,UPI/DR/750107096260/SWIGGY.ORDER@ICICI/PAYMENT,,925.00,,132954.00
08-04-2026,UPI/DR/242299706870/JIO.RECHARGE@SBI/PAYMENT,,335.00,,132619.00
09-04-2026,UPI/DR/777483650397/9123456789@YBL/PAYMENT,,679.00,,131940.00
09-04-2026,UPI/DR/257516940825/SWIGGY.ORDER@ICICI/PAYMENT,,734.00,,131206.00
10-04-2026,UPI/DR/314419091665/9123456789@YBL/PAYMENT,,718.00,,130488.00
10-04-2026,UPI/DR/477401889048/9876543210@OKHDFC/PAYMENT,,324.00,,130164.00
11-04-2026,UPI/DR/501623679126/JIO.RECHARGE@SBI/PAYMENT,,179.00,,129985.00
12-04-2026,UPI/DR/184964492378/9123456789@YBL/PAYMENT,,163.00,,129822.00
12-04-2026,UPI/DR/806532761658/PAYTMQR2810050501@PAYTM/PAYMENT,,433.00,,129389.00
13-04-2026,UPI/DR/765908888274/JIO.RECHARGE@SBI/PAYMENT,,689.00,,128700.00
13-04-2026,UPI/DR/453147142153/PAYTMQR2810050501@PAYTM/PAYMENT,,143.00,,128557.00
15-04-2026,UPI/DR/480059344563/ZOMATO.PAY@HDFCBANK/PAYMENT,,81.00,,128476.00
15-04-2026,UPI/DR/515220990476/9123456789@YBL/PAYMENT,,609.00,,127867.00
16-04-2026,UPI/DR/672539200388/RATNADEEP.RZP@AXIS/PAYMENT,,829.00,,127038.00
16-04-2026,UPI/DR/917794079834/PAYTMQR2810050501@PAYTM/PAYMENT,,502.00,,126536.00
16-04-2026,UPI/CR/276460218586/MYNTRA REFUND ORDER RETURN,276460218586,,1299.00,127835.00
18-04-2026,UPI/DR/832786290920/AMAZONPAY@APL/PAYMENT,,308.00,,127527.00
18-04-2026,UPI/DR/818849221379/AMAZONPAY@APL/PAYMENT,,1018.00,,126509.00
19-04-2026,UPI/DR/169927627280/ZOMATO.PAY@HDFCBANK/PAYMENT,,584.00,,125925.00
19-04-2026,UPI/DR/215208267430/9988776655@AXL/PAYMENT,,455.00,,125470.00
19-04-2026,ATW-512967XX1234-S1CN100108-HYDERABAD,,2000.00,,123470.00
21-04-2026,UPI/DR/516513417782/9123456789@YBL/PAYMENT,,955.00,,122515.00
21-04-2026,UPI/DR/820038942603/JIO.RECHARGE@SBI/PAYMENT,,159.00,,122356.00
22-04-2026,UPI/DR/681867575914/AMAZONPAY@APL/PAYMENT,,742.00,,121614.00
23-04-2026,UPI/DR/866400221238/PAYTMQR2810050501@PAYTM/PAYMENT,,326.00,,121288.00
25-04-2026,UPI/DR/739736841418/AMAZONPAY@APL/PAYMENT,,415.00,,120873.00
26-04-2026,UPI/DR/208360346293/ZOMATO.PAY@HDFCBANK/PAYMENT,,284.00,,120589.00
29-04-2026,UPI/DR/486399483206/RATNADEEP.RZP@AXIS/PAYMENT,,1077.00,,119512.00
30-04-2026,UPI/DR/700517535779/AMAZONPAY@APL/PAYMENT,,1121.00,,118391.00
01-05-2026,NEFT CR-ACME TECH PVT LTD-SALARY,ACMEN2583221438370001,,52000.00,170391.00
01-05-2026,UPI/DR/609143015145/ZOMATO.PAY@HDFCBANK/PAYMENT,,164.00,,170227.00
01-05-2026,ATW-512967XX1234-S1CN100120-HYDERABAD,,3700.00,,166527.00
02-05-2026,UPI/DR/299528461120/9988776655@AXL/PAYMENT,,852.00,,165675.00
02-05-2026,UPI/DR/329240129648/ZOMATO.PAY@HDFCBANK/PAYMENT,,857.00,,164818.00
03-05-2026,UPI/DR/833413291982/9123456789@YBL/PAYMENT,,598.00,,164220.00
05-05-2026,ACH-DR-TP BAJAJ FINANCE-EMI,,4500.00,,159720.00
05-05-2026,UPI/DR/713130748962/AMAZONPAY@APL/PAYMENT,,994.00,,158726.00
08-05-2026,UPI/DR/271475844828/RATNADEEP.RZP@AXIS/PAYMENT,,1069.00,,157657.00
09-05-2026,UPI/DR/181541010280/ZOMATO.PAY@HDFCBANK/PAYMENT,,819.00,,156838.00
10-05-2026,UPI/DR/970848807131/9123456789@YBL/PAYMENT,,751.00,,156087.00
11-05-2026,UPI/DR/261523670946/JIO.RECHARGE@SBI/PAYMENT,,686.00,,155401.00
11-05-2026,UPI/DR/277744488341/RATNADEEP.RZP@AXIS/PAYMENT,,647.00,,154754.00
13-05-2026,UPI/DR/529788328997/AMAZONPAY@APL/PAYMENT,,920.00,,153834.00
13-05-2026,ATW-512967XX1234-S1CN100132-HYDERABAD,,2800.00,,151034.00
14-05-2026,UPI/DR/922254636779/PAYTMQR2810050501@PAYTM/PAYMENT,,713.00,,150321.00
15-05-2026,UPI/DR/993750999386/PAYTMQR2810050501@PAYTM/PAYMENT,,934.00,,149387.00
16-05-2026,UPI/DR/486390273603/AMAZONPAY@APL/PAYMENT,,463.00,,148924.00
16-05-2026,UPI/DR/922304444021/PAYTMQR2810050501@PAYTM/PAYMENT,,683.00,,148241.00
17-05-2026,UPI/DR/543233998399/RATNADEEP.RZP@AXIS/PAYMENT,,771.00,,147470.00
18-05-2026,UPI/DR/202376815912/AMAZONPAY@APL/PAYMENT,,983.00,,146487.00
18-05-2026,UPI/DR/540918296371/9876543210@OKHDFC/PAYMENT,,936.00,,145551.00
19-05-2026,UPI/DR/498787324216/PAYTMQR2810050501@PAYTM/PAYMENT,,728.00,,144823.00
21-05-2026,UPI/DR/953051704353/RATNADEEP.RZP@AXIS/PAYMENT,,503.00,,144320.00
24-05-2026,UPI/DR/343177283160/AMAZONPAY@APL/PAYMENT,,870.00,,143450.00
25-05-2026,ATW-512967XX1234-S1CN100144-HYDERABAD,,3100.00,,140350.00
26-05-2026,UPI/DR/570050611635/PAYTMQR2810050501@PAYTM/PAYMENT,,98.00,,140252.00
26-05-2026,UPI/DR/105686067425/PAYTMQR2810050501@PAYTM/PAYMENT,,1086.00,,139166.00
27-05-2026,UPI/DR/104437588061/ZOMATO.PAY@HDFCBANK/PAYMENT,,1118.00,,138048.00
28-05-2026,UPI/DR/196592400888/RATNADEEP.RZP@AXIS/PAYMENT,,1086.00,,136962.00
29-05-2026,UPI/DR/909362766555/AMAZONPAY@APL/PAYMENT,,437.00,,136525.00
29-05-2026,UPI/DR/201811660955/9123456789@YBL/PAYMENT,,374.00,,136151.00
30-05-2026,UPI/DR/758674879266/JIO.RECHARGE@SBI/PAYMENT,,815.00,,135336.00
01-06-2026,NEFT CR-ACME TECH PVT LTD-SALARY,ACMEN8719998406590001,,52000.00,187336.00
01-06-2026,UPI/DR/909824697626/SWIGGY.ORDER@ICICI/PAYMENT,,555.00,,186781.00
03-06-2026,UPI/DR/857613630376/AMAZONPAY@APL/PAYMENT,,356.00,,186425.00
03-06-2026,UPI/DR/821200863325/SWIGGY.ORDER@ICICI/PAYMENT,,1166.00,,185259.00
05-06-2026,ACH-DR-TP BAJAJ FINANCE-EMI,,4500.00,,180759.00
05-06-2026,UPI/DR/180750478035/9123456789@YBL/PAYMENT,,494.00,,180265.00
05-06-2026,UPI/DR/815764103390/JIO.RECHARGE@SBI/PAYMENT,,108.00,,180157.00
06-06-2026,UPI/DR/117586462022/JIO.RECHARGE@SBI/PAYMENT,,113.00,,180044.00
06-06-2026,UPI/DR/544938744612/JIO.RECHARGE@SBI/PAYMENT,,430.00,,179614.00
06-06-2026,ATW-512967XX1234-S1CN100156-HYDERABAD,,3900.00,,175714.00
07-06-2026,UPI/DR/620595088099/ZOMATO.PAY@HDFCBANK/PAYMENT,,101.00,,175613.00
07-06-2026,UPI/DR/908718060568/SWIGGY.ORDER@ICICI/PAYMENT,,867.00,,174746.00
14-06-2026,UPI/DR/955251665518/9988776655@AXL/PAYMENT,,797.00,,173949.00
15-06-2026,UPI/DR/278207030274/ZOMATO.PAY@HDFCBANK/PAYMENT,,317.00,,173632.00
15-06-2026,UPI/DR/510746083972/9988776655@AXL/PAYMENT,,1147.00,,172485.00
15-06-2026,UPI/DR/444363915096/9876543210@OKHDFC/TRANSFER,444363915096,2499.00,,169986.00
16-06-2026,UPI/DR/241901584199/AMAZONPAY@APL/PAYMENT,,366.00,,169620.00
16-06-2026,UPI/DR/861188205924/RATNADEEP.RZP@AXIS/PAYMENT,,290.00,,169330.00
17-06-2026,UPI/DR/811948383179/PAYTMQR2810050501@PAYTM/PAYMENT,,993.00,,168337.00
18-06-2026,UPI/DR/525740793601/AMAZONPAY@APL/PAYMENT,,1001.00,,167336.00
18-06-2026,UPI/DR/990120937045/RATNADEEP.RZP@AXIS/PAYMENT,,113.00,,167223.00
18-06-2026,ATW-512967XX1234-S1CN100168-HYDERABAD,,3700.00,,163523.00
19-06-2026,UPI/DR/715800929296/JIO.RECHARGE@SBI/PAYMENT,,735.00,,162788.00
20-06-2026,UPI/DR/670690637121/ZOMATO.PAY@HDFCBANK/PAYMENT,,397.00,,162391.00
20-06-2026,UPI/DR/866538574786/AMAZONPAY@APL/PAYMENT,,395.00,,161996.00
21-06-2026,UPI/DR/532739575772/ZOMATO.PAY@HDFCBANK/PAYMENT,,770.00,,161226.00
21-06-2026,UPI/DR/787323566789/9876543210@OKHDFC/PAYMENT,,333.00,,160893.00
22-06-2026,UPI/DR/978091013610/AMAZONPAY@APL/PAYMENT,,804.00,,160089.00
23-06-2026,UPI/DR/131701773459/ZOMATO.PAY@HDFCBANK/PAYMENT,,1063.00,,159026.00
23-06-2026,UPI/DR/471371361833/SWIGGY.ORDER@ICICI/PAYMENT,,378.00,,158648.00
24-06-2026,UPI/DR/285166526167/AMAZONPAY@APL/PAYMENT,,928.00,,157720.00
24-06-2026,UPI/DR/610770692248/RATNADEEP.RZP@AXIS/PAYMENT,,1087.00,,156633.00
25-06-2026,UPI/DR/811925314708/RATNADEEP.RZP@AXIS/PAYMENT,,1013.00,,155620.00
25-06-2026,UPI/DR/347734918048/JIO.RECHARGE@SBI/PAYMENT,,940.00,,154680.00
26-06-2026,UPI/DR/725937877261/JIO.RECHARGE@SBI/PAYMENT,,1101.00,,153579.00
26-06-2026,UPI/DR/258047544646/JIO.RECHARGE@SBI/PAYMENT,,578.00,,153001.00
28-06-2026,UPI/DR/733501680380/ZOMATO.PAY@HDFCBANK/PAYMENT,,55.00,,152946.00
28-06-2026,UPI/DR/957303188696/PAYTMQR2810050501@PAYTM/PAYMENT,,633.00,,152313.00
29-06-2026,UPI/DR/497098139506/JIO.RECHARGE@SBI/PAYMENT,,393.00,,151920.00
